elem_id,elem_period,elem_group,bond,state,atomic_weight,dencity
'E01',1,1,'molecular covalent','gas',1.008,0.00008988
'E02',1,18,'single atoms','gas',4.0026,0.0001785
'E03',2,1,'metallic','solid',6.94,0.534
'E04',2,2,'metallic','solid',9.0122,1.85
'E05',2,13,'network covalent','solid',10.81,2.34
'E06',2,14,'network covalent','solid',12.011,2.265
'E07',2,15,'molecular covalent','gas',14.007,0.0012506
'E08',2,16,'molecular covalent','gas',15.999,0.001429
'E09',2,17,'molecular covalent','gas',18.998,0.001693
'E10',2,18,'single atoms','gas',20.180,0.00090035
